a_oa_a_i_e_i_a_a	а_(о)_а_ы_э_ы_а_а
ri_roa_ri_ru_ro_ru_ri_rir	ры_р(о)_ры_ру_ро_ру_ры_рыр
ru_roa_ru_re_ra_re_ru_rur	ру_р(о)_ру_рэ_ра_рэ_ру_рур
re_rei_re_ro_ri_ru_re_rer	рэ_р(э)_рэ_ро_ры_ру_рэ_рэр
ro_rei_ro_ra_ru_ra_ro_ror	ро_р(э)_ро_ра_ру_ра_ро_рор
r'i_rei_r'i_ra_r'i_ri_r'i_rer	ри_р(э)_ри_ра_ри_ры_ри_рэр
r'i_roa_r'i_ro_r'i_ru_r'i_r'ir	ри_р(о)_ри_ро_ри_ру_ри_рир
rei_rei_ra_rei_ri_rei_ru_reir	р(э)_р(э)_ра_р(э)_ры_р(э)_ру_р(э)р
roa_roa_re_roa_ro_roa_rei_roar	р(о)_р(о)_рэ_р(о)_ро_р(о)_р(э)_р(о)р
r'a_r'oa_r'a_r'i_r'e_r'i_r'a_r'ar'	ря_р(я)_ря_ри_ре_ри_ря_рярь
r'i_r'oa_r'i_r'u_r'o_r'u_r'i_r'ir'	ри_р(я)_ри_рю_рё_рю_ри_рирь
r'u_r'oa_r'u_r'e_r'a_r'e_r'u_r'ur'	рю_р(я)_рю_ре_ря_ре_рю_рюрь
r'e_r'ei_r'e_r'o_r'i_r'u_r'e_r'er'	ре_р(е)_ре_рё_ри_рю_ре_рерь
r'o_r'ei_r'o_r'a_r'u_r'a_r'o_r'or'	рё_р(е)_рё_ря_рю_ря_рё_рёрь
ri_r'ei_ri_r'a_ri_r'i_ri_r'er'	ры_р(е)_ры_ря_ры_ри_ры_рерь
ri_r'oa_ri_r'o_ri_r'u_ri_rir'	ры_р(я)_ры_рё_ры_рю_ры_рырь
r'ei_r'ei_r'a_r'ei_r'i_r'ei_r'u_r'eir'	р(е)_р(е)_ря_р(е)_ри_р(е)_рю_р(е)рь
r'oa_r'oa_r'e_r'oa_r'o_r'oa_r'ei_r'oar'	р(я)_р(я)_ре_р(я)_рё_р(я)_р(е)_р(я)рь
ha_hoa_ha_hi_he_hi_ha_hah	ха_х(о)_ха_хы_хэ_хы_ха_хах
hi_hoa_hi_hu_ho_hu_hi_hih	хы_х(о)_хы_ху_хо_ху_хы_хых
hu_hoa_hu_he_ha_he_hu_huh	ху_х(о)_ху_хэ_ха_хэ_ху_хух
he_hei_he_ho_hi_hu_he_heh	хэ_х(э)_хэ_хо_хы_ху_хэ_хэх
ho_hei_ho_ha_hu_ha_ho_hoh	хо_х(э)_хо_ха_ху_ха_хо_хох
h'i_hei_h'i_ha_h'i_hi_h'i_heh	хи_х(э)_хи_ха_хи_хы_хи_хэх
h'i_hoa_h'i_ho_h'i_hu_h'i_h'ih	хи_х(о)_хи_хо_хи_ху_хи_хих
hei_hei_ha_hei_hi_hei_hu_heih	х(э)_х(э)_ха_х(э)_хы_х(э)_ху_х(э)х
hoa_hoa_he_hoa_ho_hoa_hei_hoah	х(о)_х(о)_хэ_х(о)_хо_х(о)_х(э)_х(о)х
h'a_h'oa_h'a_h'i_h'e_h'i_h'a_h'ah'	хя_х(я)_хя_хи_хе_хи_хя_хяхь
h'i_h'oa_h'i_h'u_h'o_h'u_h'i_h'ih'	хи_х(я)_хи_хю_хё_хю_хи_хихь
h'u_h'oa_h'u_h'e_h'a_h'e_h'u_h'uh'	хю_х(я)_хю_хе_хя_хе_хю_хюхь
h'e_h'ei_h'e_h'o_h'i_h'u_h'e_h'eh'	хе_х(е)_хе_хё_хи_хю_хе_хехь
h'o_h'ei_h'o_h'a_h'u_h'a_h'o_h'oh'	хё_х(е)_хё_хя_хю_хя_хё_хёхь
hi_h'ei_hi_h'a_hi_h'i_hi_h'eh'	хы_х(е)_хы_хя_хы_хи_хы_хехь
hi_h'oa_hi_h'o_hi_h'u_hi_hih'	хы_х(я)_хы_хё_хы_хю_хы_хыхь
h'ei_h'ei_h'a_h'ei_h'i_h'ei_h'u_h'eih'	х(е)_х(е)_хя_х(е)_хи_х(е)_хю_х(е)хь
h'oa_h'oa_h'e_h'oa_h'o_h'oa_h'ei_h'oah'	х(я)_х(я)_хе_х(я)_хё_х(я)_х(е)_х(я)хь
sha_shoa_sha_shi_she_shi_sha_shash	ша_ш(о)_ша_ши_шэ_ши_ша_шаш
shi_shoa_shi_shu_sho_shu_shi_shish	ши_ш(о)_ши_шу_шо_шу_ши_шиш
shu_shoa_shu_she_sha_she_shu_shush	шу_ш(о)_шу_шэ_ша_шэ_шу_шуш
she_shei_she_sho_shi_shu_she_shesh	шэ_ш(э)_шэ_шо_ши_шу_шэ_шэш
sho_shei_sho_sha_shu_sha_sho_shosh	шо_ш(э)_шо_ша_шу_ша_шо_шош
sh'i_shei_sh'i_sha_sh'i_shi_sh'i_shesh	щи_ш(э)_щи_ша_щи_ши_щи_шэш
sh'i_shoa_sh'i_sho_sh'i_shu_sh'i_sh'ish	щи_ш(о)_щи_шо_щи_шу_щи_щиш
shei_shei_sha_shei_shi_shei_shu_sheish	ш(э)_ш(э)_ша_ш(э)_ши_ш(э)_шу_ш(э)ш
shoa_shoa_she_shoa_sho_shoa_shei_shoash	ш(о)_ш(о)_шэ_ш(о)_шо_ш(о)_ш(э)_ш(о)ш
sh'a_sh'oa_sh'a_sh'i_sh'e_sh'i_sh'a_sh'ash'	щя_щ(о)_щя_щи_ще_щи_щя_щящ
sh'i_sh'oa_sh'i_sh'u_sh'o_sh'u_sh'i_sh'ish'	щи_щ(о)_щи_щю_щё_щю_щи_щищ
sh'u_sh'oa_sh'u_sh'e_sh'a_sh'e_sh'u_sh'ush'	щю_щ(о)_щю_ще_щя_ще_щю_щющ
sh'e_sh'ei_sh'e_sh'o_sh'i_sh'u_sh'e_sh'esh'	ще_щ(е)_ще_щё_щи_щю_ще_щещ
sh'o_sh'ei_sh'o_sh'a_sh'u_sh'a_sh'o_sh'osh'	щё_щ(е)_щё_щя_щю_щя_щё_щёщ
shi_sh'ei_shi_sh'a_shi_sh'i_shi_sh'esh'	ши_щ(е)_ши_щя_ши_щи_ши_щещ
shi_sh'oa_shi_sh'o_shi_sh'u_shi_shish'	ши_щ(о)_ши_щё_ши_щю_ши_шищ
sh'ei_sh'ei_sh'a_sh'ei_sh'i_sh'ei_sh'u_sh'eish'	щ(е)_щ(е)_щя_щ(е)_щи_щ(е)_щю_щ(е)щ
sh'oa_sh'oa_sh'e_sh'oa_sh'o_sh'oa_sh'ei_sh'oash'	щ(о)_щ(о)_ще_щ(о)_щё_щ(о)_щ(е)_щ(о)щ
zha_zhoa_zha_zhi_zhe_zhi_zha_zhazh	жа_ж(о)_жа_жи_жэ_жи_жа_жаж
zhi_zhoa_zhi_zhu_zho_zhu_zhi_zhizh	жи_ж(о)_жи_жу_жо_жу_жи_жиж
zhu_zhoa_zhu_zhe_zha_zhe_zhu_zhuzh	жу_ж(о)_жу_жэ_жа_жэ_жу_жуж
zhe_zhei_zhe_zho_zhi_zhu_zhe_zhezh	жэ_ж(э)_жэ_жо_жи_жу_жэ_жэж
zho_zhei_zho_zha_zhu_zha_zho_zhozh	жо_ж(э)_жо_жа_жу_жа_жо_жож
k'i_zhei_k'i_zha_k'i_zhi_k'i_zhezh	ки_ж(э)_ки_жа_ки_жи_ки_жэж
k'i_zhoa_k'i_zho_k'i_zhu_k'i_k'izh	ки_ж(о)_ки_жо_ки_жу_ки_киж
zhei_zhei_zha_zhei_zhi_zhei_zhu_zheizh	ж(э)_ж(э)_жа_ж(э)_жи_ж(э)_жу_ж(э)ж
zhoa_zhoa_zhe_zhoa_zho_zhoa_zhei_zhoazh	ж(о)_ж(о)_жэ_ж(о)_жо_ж(о)_ж(э)_ж(о)ж
tsa_tsoa_tsa_tsi_tse_tsi_tsa_tsats	ца_ц(о)_ца_цы_цэ_цы_ца_цац
tsi_tsoa_tsi_tsu_tso_tsu_tsi_tsits	цы_ц(о)_цы_цу_цо_цу_цы_цыц
tsu_tsoa_tsu_tse_tsa_tse_tsu_tsuts	цу_ц(о)_цу_цэ_ца_цэ_цу_цуц
tse_tsei_tse_tso_tsi_tsu_tse_tsets	цэ_ц(э)_цэ_цо_цы_цу_цэ_цэц
tso_tsei_tso_tsa_tsu_tsa_tso_tsots	цо_ц(э)_цо_ца_цу_ца_цо_цоц
k'i_tsei_k'i_tsa_k'i_tsi_k'i_tsets	ки_ц(э)_ки_ца_ки_цы_ки_цэц
k'i_tsoa_k'i_tso_k'i_tsu_k'i_k'its	ки_ц(о)_ки_цо_ки_цу_ки_киц
tsei_tsei_tsa_tsei_tsi_tsei_tsu_tseits	ц(э)_ц(э)_ца_ц(э)_цы_ц(э)_цу_ц(э)ц
tsoa_tsoa_tse_tsoa_tso_tsoa_tsei_tsoats	ц(о)_ц(о)_цэ_ц(о)_цо_ц(о)_ц(э)_ц(о)ц
ya_yoa_ya_yi_ye_yi_ya_yay	я_й(о)_я_йи_е_йи_я_яй
yi_yoa_yi_yu_yo_yu_yi_yiy	йи_й(о)_йи_ю_ё_ю_йи_йий
yu_yoa_yu_ye_ya_ye_yu_yuy	ю_й(о)_ю_е_я_е_ю_юй
ye_yei_ye_yo_yi_yu_ye_yey	е_й(е)_е_ё_йи_ю_е_ей
yo_yei_yo_ya_yu_ya_yo_yoy	ё_й(е)_ё_я_ю_я_ё_ёй
ki_yei_ki_ya_ki_yi_ki_yey	кы_й(е)_кы_я_кы_йи_кы_ей
ki_yoa_ki_yo_ki_yu_ki_kiy	кы_й(о)_кы_ё_кы_ю_кы_кый
yei_yei_ya_yei_yi_yei_yu_yeiy	й(е)_й(е)_я_й(е)_йи_й(е)_ю_й(е)й
yoa_yoa_ye_yoa_yo_yoa_yei_yoay	й(о)_й(о)_е_й(о)_ё_й(о)_й(е)_й(о)й
cha_choa_cha_chi_che_chi_cha_chach	ча_ч(я)_ча_чи_че_чи_ча_чачь
chi_choa_chi_chu_cho_chu_chi_chich	чи_ч(я)_чи_чу_чо_чу_чи_чичь
chu_choa_chu_che_cha_che_chu_chuch	чу_ч(я)_чу_че_ча_че_чу_чучь
che_chei_che_cho_chi_chu_che_chech	че_ч(е)_че_чо_чи_чу_че_чечь
cho_chei_cho_cha_chu_cha_cho_choch	чо_ч(е)_чо_ча_чу_ча_чо_чочь
ki_chei_ki_cha_ki_chi_ki_chech	кы_ч(е)_кы_ча_кы_чи_кы_чечь
ki_choa_ki_cho_ki_chu_ki_kich	кы_ч(я)_кы_чо_кы_чу_кы_кычь
chei_chei_cha_chei_chi_chei_chu_cheich	ч(е)_ч(е)_ча_ч(е)_чи_ч(е)_чу_ч(е)чь
choa_choa_che_choa_cho_choa_chei_choach	ч(я)_ч(я)_че_ч(я)_чо_ч(я)_ч(е)_ч(я)чь
ke_k'i_ge_g'i_se_s'i_ze_z'i	кэ_ки_гэ_ги_сэ_си_зэ_зи
te_t'i_de_d'i_fe_f'i_ve_v'i	тэ_ти_дэ_ди_фэ_фи_вэ_ви
pe_p'i_be_b'i_le_l'i_me_m'i	пэ_пи_бэ_би_лэ_ли_мэ_ми
ne_n'i_re_r'i_he_h'i_she_sh'i	нэ_ни_рэ_ри_хэ_хи_шэ_щи
e_'i	э_и

